³¯Â¥,PM10,PM2.5,PM10,PM2.5
2019/01/01,36,25,35,29
2019/01/02,33,22,59,48
2019/01/03,35,22,65,52
2019/01/04,55,38,53,44
2019/01/05,60,38,52,43
2019/01/06,42,20,38,32
2019/01/07,51,32,9,8
2019/01/08,38,18,25,24
2019/01/09,47,22,50,47
2019/01/10,51,30,65,59
2019/01/11,71,48,50,46
2019/01/12,89,63,46,40
2019/01/13,107,73,25,21
2019/01/14,155,113,30,25
2019/01/15,122,72,36,28
2019/01/16,43,17,40,32
2019/01/17,39,20,56,42
2019/01/18,53,32,60,45
2019/01/19,87,58,62,53
2019/01/20,59,30,52,36
2019/01/21,42,19,42,31
2019/01/22,61,28,42,32
2019/01/23,69,39,59,46
2019/01/24,36,18,71,58
2019/01/25,44,18,46,40
2019/01/26,40,19,24,21
2019/01/27,34,18,10,6
2019/01/28,73,20,12,8
2019/01/29,62,20,15,10
2019/01/30,54,26,15,11
2019/01/31,63,19,26,22
2019/02/01,35,16,66,57
2019/02/02,56,33,68,61
2019/02/03,35,25,23,18
2019/02/04,71,35,23,19
2019/02/05,76,25,22,13
2019/02/06,90,31,38,24
2019/02/07,59,29,34,26
2019/02/08,30,16,39,33
2019/02/09,35,17,34,28
2019/02/10,41,23,43,33
2019/02/11,37,22,53,40
2019/02/12,55,34,49,39
2019/02/13,38,20,75,67
2019/02/14,46,23,81,72
2019/02/15,38,25,63,57
2019/02/16,56,43,25,22
2019/02/17,35,23,38,21
2019/02/18,39,23,22,18
2019/02/19,40,29,32,27
2019/02/20,56,44,59,52
2019/02/21,74,57,65,55
2019/02/22,66,48,68,43
2019/02/23,48,32,21,13
2019/02/24,60,44,33,22
2019/02/25,74,53,21,16
2019/02/26,47,24,16,11
2019/02/27,61,39,11,8
2019/02/28,79,51,24,20
2019/03/01,109,75,20,16
2019/03/02,109,75,43,37
2019/03/03,101,69,36,31
2019/03/04,150,103,43,37
2019/03/05,174,122,44,39
2019/03/06,130,90,34,31
2019/03/07,52,35,38,31
2019/03/08,42,23,52,44
2019/03/09,41,26,53,47
2019/03/10,45,29,53,45
2019/03/11,63,41,38,34
2019/03/12,76,45,29,14
2019/03/13,35,10,31,16
2019/03/14,40,20,28,15
2019/03/15,51,29,37,23
2019/03/16,37,24,36,20
2019/03/17,32,19,21,14
2019/03/18,36,20,46,26
2019/03/19,59,36,57,40
2019/03/20,89,62,51,26
2019/03/21,30,21,33,10
2019/03/22,33,17,49,18
2019/03/23,22,13,37,18
2019/03/24,24,11,45,31
2019/03/25,40,23,52,38
2019/03/26,51,29,44,33
2019/03/27,82,51,48,36
2019/03/28,74,43,41,25
2019/03/29,34,17,29,9
2019/03/30,31,21,37,19
2019/03/31,38,23,47,31
2019/04/01,22,11,45,29
2019/04/02,29,15,59,33
2019/04/03,34,20,36,28
2019/04/04,32,17,53,38
2019/04/05,63,20,60,31
2019/04/06,50,16,40,23
2019/04/07,34,15,49,25
2019/04/08,32,12,52,29
