³¯Â¥,PM10,PM2.5,PM10,PM2.5
2019/05/01,49,21,34,21
2019/05/02,47,13,49,33
2019/05/03,54,27,44,30
2019/05/04,80,50,25,19
2019/05/05,62,38,30,18
2019/05/06,26,8,29,18
2019/05/07,39,14,28,16
2019/05/08,43,19,23,13
2019/05/09,39,19,23,13
2019/05/10,53,28,14,8
2019/05/11,54,29,26,21
2019/05/12,47,29,92,27
2019/05/13,46,29,34,15
2019/05/14,35,25,26,11
2019/05/15,55,34,35,13
2019/05/16,54,35,31,13
2019/05/17,47,31,21,14
2019/05/18,26,15,37,28
2019/05/19,15,10,39,27
2019/05/20,30,9,13,6
2019/05/21,43,15,6,4
2019/05/22,45,22,23,13
2019/05/23,60,34,46,33
2019/05/24,70,43,50,38
2019/05/25,69,43,45,33
2019/05/26,33,20,38,27
2019/05/27,20,12,19,14
2019/05/28,17,6,27,21
2019/05/29,37,17,31,22
2019/05/30,36,20,33,26
2019/05/31,16,9,37,30
2019/06/01,26,19,18,10
2019/06/02,28,18,22,15
2019/06/03,30,18,43,24
2019/06/04,23,16,45,26
2019/06/05,38,26,39,21
2019/06/06,47,32,50,32
2019/06/07,11,7,42,27
2019/06/08,20,13,38,22
2019/06/09,29,20,43,24
2019/06/10,9,5,40,24
2019/06/11,9,6,25,18
2019/06/12,21,12,41,23
2019/06/13,22,15,47,27
2019/06/14,26,17,35,25
2019/06/15,26,16,23,15
2019/06/16,11,8,52,41
2019/06/17,20,12,46,37
2019/06/18,26,18,31,23
2019/06/19,25,19,21,16
2019/06/20,21,16,35,26
2019/06/21,21,15,30,24
2019/06/22,10,6,36,24
2019/06/23,10,6,37,26
2019/06/24,19,12,30,22
2019/06/25,26,18,13,11
2019/06/26,30,21,19,16
2019/06/27,18,14,22,17
2019/06/28,37,28,27,21
2019/06/29,22,17,36,29
2019/06/30,31,24,6,5
