PM2.5 시도별 대기정보,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2019-10-31,        26,        18,        22,        24,        22,        20,        13,        27,        28,        30,        22,        21,        16,        20,        16,        12,        22
2019-10-30,        11,        15,        14,        10,        11,        14,        12,        12,        14,        19,        14,        14,         9,        13,        13,         9,        15
2019-10-29,        19,        34,        28,        15,        22,        19,        33,        18,        22,        23,        19,        20,        19,        28,        28,        25,        18
2019-10-28,        19,        16,        20,        17,        23,        21,        15,        21,        21,        29,        22,        21,        16,        19,        15,        10,        27
2019-10-27,        14,        11,        12,        11,        13,        16,        10,        16,        18,        24,        20,        15,         9,        14,        10,         8,        19
2019-10-26,        13,        16,        15,        11,        12,        14,        13,        14,        16,        19,        15,        13,        11,        16,        14,        13,        16
2019-10-25,        12,        10,        10,        11,        18,        15,         8,        13,        11,        17,        17,        16,        12,        11,         9,        16,        18
2019-10-24,        15,        11,        14,        16,        17,        13,         7,        16,        15,        18,        21,        16,        15,        12,        11,        14,        20
2019-10-23,        14,        12,        16,        17,        17,        12,         9,        18,        16,        19,        21,        17,        15,        13,        12,        11,        20
2019-10-22,        24,        10,        12,        29,        18,        12,         7,        28,        17,        18,        26,        16,        13,         9,         9,        11,        19
2019-10-21,        26,         9,        15,        30,        21,        19,         5,        29,        17,        27,        37,        25,        17,        11,        11,        11,        28
2019-10-20,        23,         9,        15,        25,        24,        18,         6,        25,        12,        26,        29,        27,        17,        11,        11,        13,        25
2019-10-19,        11,         8,         9,        12,        14,        11,         5,        12,         8,        15,        18,        15,        10,         8,         7,        11,        13
2019-10-18,         9,         8,        13,        11,        13,         9,         5,        11,         9,        14,        15,        18,        12,        10,         9,        10,        14
2019-10-17,        16,        10,        16,        18,        31,        21,         8,        21,        13,        26,        36,        37,        19,        12,        15,        16,        18
2019-10-16,        15,        10,        15,        16,        23,        15,         8,        17,        11,        20,        24,        26,        14,        11,        12,        15,        15
2019-10-15,         9,        10,        10,        10,        19,        11,         7,        11,         7,        15,        16,        20,        13,         9,        11,        16,        12
2019-10-14,        15,        12,        16,        15,        18,        16,        10,        16,        13,        19,        17,        17,        13,        12,        12,        18,        17
2019-10-13,         9,         9,         8,         9,        12,         9,         5,        10,         8,        11,        12,        12,        10,         8,         7,        16,        10
2019-10-12,        11,        13,        12,        11,        18,        14,        10,        11,        11,        15,        16,        17,        15,        13,        10,        19,        14
2019-10-11,        19,        16,        14,        21,        29,        25,        11,        21,        14,        26,        36,        32,        19,        14,        13,        17,        26
2019-10-10,        15,        19,        16,        15,        14,        20,        19,        18,        11,        28,        23,        17,        13,        13,        13,        14,        24
2019-10-09,        10,        14,        10,         9,         9,        10,        11,        11,         8,        14,        11,        10,         7,         9,         9,        11,        11
2019-10-08,        10,        14,        13,         9,        13,        11,        11,        10,        10,        15,        12,        13,         9,        12,        11,        16,        10
2019-10-07,         6,         8,        11,         6,        10,         6,         7,         6,         7,         8,         7,         9,         7,         9,         8,        12,         7
2019-10-06,         5,         7,         6,         5,        13,         5,         5,         5,         5,         6,         8,        12,         9,         6,         7,        13,         5
2019-10-05,        21,        17,        20,        16,        28,        26,        14,        21,        15,        29,        21,        23,        20,        18,        18,        29,        25
2019-10-04,        20,        14,        15,        24,        27,        17,        12,        22,        11,        15,        26,        26,        19,        12,        12,        38,        16
2019-10-03,         5,         8,         6,         6,        12,         6,         5,         5,         6,         5,         8,        12,         9,         5,         6,        30,         6
2019-10-02,        15,        14,        10,        17,         4,         9,        13,        15,        16,        14,         9,         6,         4,        11,         8,,         9
2019-10-01,        31,        15,        27,        40,        21,        26,        25,        37,        22,        33,        34,        25,        11,        30,        12,        10,        28
2019-11-30,        28,        14,        27,        32,        21,        25,        13,        33,        17,        34,        31,        25,        16,        19,        15,        10,        34
2019-11-29,        23,        12,        15,        18,        14,        20,        10,        24,        16,        27,        19,        22,        14,        14,        12,         8,        24
2019-11-28,        19,         9,        21,        17,        28,        26,         8,        22,        14,        31,        27,        31,        18,        14,        13,        19,        33
2019-11-27,        22,        17,        20,        19,        23,        22,        15,        24,        18,        27,        24,        24,        17,        17,        16,        12,        24
2019-11-26,        16,         7,         7,        18,        20,        19,         5,        20,         9,        22,        24,        20,        12,         8,         8,         8,        25
2019-11-25,        15,        10,        11,        15,        13,        16,         9,        17,         9,        18,        19,        16,        11,        10,         9,        12,        17
2019-11-24,        18,        20,        27,        20,        19,        16,        18,        21,        18,        24,        24,        24,        16,        20,        21,        14,        26
2019-11-23,        18,        12,        23,        23,        16,        18,         9,        22,        19,        24,        25,        23,        14,        14,        15,        10,        27
2019-11-22,        22,        11,        22,        24,        14,        21,         9,        25,        21,        27,        28,        22,        12,        15,        15,        11,        31
2019-11-21,        18,        11,        21,        21,        14,        25,        10,        23,        17,        31,        27,        22,        12,        14,        13,         7,        32
2019-11-20,        11,        11,        11,        12,        11,        15,         8,        14,        11,        18,        16,        14,        10,        10,         9,         9,        17
2019-11-19,         9,        12,        10,         9,         9,        12,         8,        10,         9,        13,        13,        12,         9,        10,         9,        11,        14
2019-11-18,        12,        14,        14,        10,        15,        17,        12,        13,        14,        17,        15,        15,        14,        16,        11,        20,        14
2019-11-17,        15,        20,        44,        16,        17,        23,        22,        18,        17,        30,        26,        23,        16,        31,        22,        12,        31
2019-11-16,        22,        16,        25,        20,        20,        20,        18,        23,        19,        32,        34,        19,        14,        23,        16,        10,        28
2019-11-15,        14,        15,        21,        14,        14,        12,        14,        16,        14,        19,        15,        13,        11,        15,        13,        11,        14
2019-11-14,         6,        11,         8,         6,         8,         9,         7,         7,         7,        10,        10,        10,         8,         9,         8,        10,         8
2019-11-13,        20,        21,        27,        19,        24,        20,        21,        25,        18,        30,        25,        23,        17,        22,        19,        13,        29
2019-11-12,        22,        20,        23,        19,        17,        18,        21,        24,        23,        27,        20,        20,        14,        20,        16,        11,        21
2019-11-11,        15,        17,        14,        11,        18,        13,        11,        15,        16,        16,        15,        16,        16,        13,        14,        18,        14
2019-11-10,        25,        17,        26,        22,        28,        24,        16,        29,        20,        37,        29,        29,        21,        23,        18,        15,        36
2019-11-09,        22,        22,        23,        19,        19,        23,        20,        26,        21,        37,        28,        28,        16,        22,        17,        10,        28
2019-11-08,        18,        27,        22,        15,        13,        22,        24,        21,        28,        30,        19,        21,        13,        22,        23,         8,        23
2019-11-07,        23,        23,        22,        20,        23,        22,        20,        25,        28,        31,        24,        25,        17,        21,        21,        18,        25
2019-11-06,        30,        25,        27,        22,        24,        24,        25,        33,        28,        39,        27,        26,        20,        26,        22,        19,        30
2019-11-05,        20,        16,        21,        19,        24,        23,        14,        23,        17,        31,        28,        32,        19,        16,        16,        16,        27
2019-11-04,         8,         8,         8,         7,        27,        14,         6,         9,         8,        13,        19,        30,        17,         8,        12,        15,        14
2019-11-03,        32,        27,        31,        27,        37,        39,        23,        38,        24,        47,        48,        40,        29,        27,        27,        27,        47
2019-11-02,        40,        23,        36,        34,        39,        36,        21,        42,        36,        50,        40,        39,        30,        27,        28,        34,        40
2019-11-01,        34,        37,        37,        26,        44,        38,        35,        35,        43,        46,        33,        39,        39,        37,        33,        52,        33
2019-12-31,        15,        12,        11,        12,         9,        11,        10,        13,        14,        15,        13,        11,         9,        12,         8,        10,        11
2019-12-30,        25,        24,        27,        20,        17,        14,        18,        26,        23,        28,        24,        17,        14,        22,        21,        16,        22
2019-12-29,        27,        28,        43,        24,        24,        25,        27,        30,        30,        34,        31,        27,        21,        30,        27,        13,        38
2019-12-28,        25,        20,        25,        22,        19,        21,        17,        27,        25,        27,        25,        22,        18,        20,        17,        22,        25
2019-12-27,        23,        13,        17,        20,        10,        19,        12,        23,        22,        22,        20,        15,        10,        16,        10,         9,        20
2019-12-26,        33,        25,        33,        32,        26,        30,        20,        37,        30,        40,        36,        30,        22,        23,        22,        16,        41
2019-12-25,        37,        28,        48,        39,        32,        43,        23,        44,        25,        48,        49,        40,        26,        31,        29,        20,        62
2019-12-24,        52,        40,        48,        40,        34,        43,        34,        53,        28,        56,        56,        42,        30,        37,        33,        30,        59
2019-12-23,        40,        37,        47,        32,        36,        31,        33,        43,        39,        46,        39,        35,        29,        39,        33,        27,        40
2019-12-22,        44,        35,        42,        38,        28,        32,        32,        47,        47,        44,        39,        34,        26,        36,        29,        20,        42
2019-12-21,        24,        31,        30,        21,        31,        28,        23,        28,        25,        35,        25,        34,        25,        26,        25,        19,        29
2019-12-20,        19,        21,        22,        16,        20,        21,        17,        21,        19,        25,        23,        23,        16,        19,        17,        20,        22
2019-12-19,        16,        18,        18,        11,        11,        16,        16,        16,        24,        24,        15,        15,        10,        20,        14,         8,        15
2019-12-18,        27,        23,        28,        21,        18,        27,        24,        28,        24,        34,        23,        23,        17,        25,        19,        15,        26
2019-12-17,        19,        24,        34,        18,        22,        23,        23,        22,        20,        31,        23,        19,        17,        25,        24,        16,        30
2019-12-16,        23,        13,        30,        31,        19,        23,        13,        30,        18,        29,        30,        25,        13,        19,        16,         7,        30
2019-12-15,        26,        14,        29,        27,        18,        22,        12,        30,        21,        32,        31,        24,        15,        20,        16,        10,        33
2019-12-14,        26,        24,        26,        21,        19,        21,        20,        29,        29,        31,        26,        23,        17,        25,        22,        16,        24
2019-12-13,        16,        17,        22,        16,        19,        20,        13,        19,        17,        23,        18,        20,        16,        16,        17,        10,        24
2019-12-12,        14,        10,        10,        13,         9,        13,         7,        15,        12,        13,        14,        13,         8,         9,         8,        11,        12
2019-12-11,        50,        38,        52,        43,        48,        37,        33,        54,        51,        57,        46,        40,        33,        43,        34,        32,        56
2019-12-10,        72,        38,        59,        66,        45,        52,        37,        76,        58,        66,        62,        48,        31,        44,        36,        18,        67
2019-12-09,        46,        35,        41,        35,        34,        36,        33,        51,        40,        54,        39,        34,        25,        35,        30,        20,        51
2019-12-08,        40,        29,        37,        34,        23,        33,        30,        46,        35,        47,        37,        30,        19,        34,        24,        16,        44
2019-12-07,        32,        16,        21,        32,        19,        23,        16,        36,        25,        32,        29,        23,        15,        18,        14,        15,        28
2019-12-06,        16,        12,        12,        15,        10,        17,         9,        18,        13,        19,        17,        15,         9,        11,         9,         8,        17
2019-12-05,        11,        18,        15,        10,        17,        13,        15,        11,         9,        13,        13,        15,        15,        14,        15,        14,        13
2019-12-04,        16,        20,        18,        15,        20,        16,        15,        20,        18,        23,        21,        20,        16,        15,        16,        18,        20
2019-12-03,        16,        13,        12,        16,        10,        12,        10,        19,        13,        15,        14,        11,         9,        10,        10,        10,        16
2019-12-02,        12,        12,        13,        10,        12,        14,         9,        12,        12,        16,        13,        15,        10,        13,         9,        10,        16
2019-12-01,        29,        19,        24,        28,        19,        35,        16,        40,        25,        48,        44,        34,        15,        22,        17,        11,        63
