PM10 시도별 대기정보,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2020-01-31,        30,        25,        30,        37,        42,        41,        20,        40,        22,        40,        47,        40,        37,        24,        27,        33,        43
2020-01-30,        18,        20,        18,        22,        37,        26,        19,        22,        16,        23,        31,        31,        31,        19,        17,        37,        27
2020-01-29,        17,        20,        22,        18,        23,        22,        19,        20,        18,        22,        23,        18,        16,        20,        16,        14,        24
2020-01-28,        12,        10,        12,        13,        13,        16,        12,        13,        15,        15,        19,        12,         9,        14,         8,        12,        17
2020-01-27,        11,        10,         6,        10,         5,         8,        11,        11,        13,        11,        12,         5,         5,        11,         5,        14,        11
2020-01-26,        27,        15,        18,        35,        35,        29,        14,        30,        18,        29,        46,        43,        31,        18,        16,        23,        38
2020-01-25,        49,        23,        23,        48,        49,        55,        20,        55,        26,        57,        80,        70,        43,        24,        25,        32,        75
2020-01-24,        71,        36,        42,        66,        63,        75,        40,        76,        45,        82,        78,        65,        49,        45,        37,        48,        82
2020-01-23,        62,        21,        43,        63,        25,        49,        21,        66,        41,        51,        63,        40,        22,        32,        22,        25,        58
2020-01-22,        45,        39,        63,        50,        28,        47,        38,        54,        36,        56,        54,        42,        27,        44,        40,        20,        62
2020-01-21,        44,        35,        35,        47,        28,        37,        33,        50,        36,        41,        44,        33,        26,        33,        29,        28,        44
2020-01-20,        52,        62,        59,        45,        74,        57,        60,        58,        53,        61,        54,        61,        62,        55,        54,        66,        60
2020-01-19,        63,        46,        54,        63,        69,        57,        43,        68,        54,        64,        72,        71,        65,        53,        48,        63,        63
2020-01-18,        64,        30,        45,        59,        38,        51,        32,        69,        40,        60,        44,        46,        29,        41,        33,        26,        55
2020-01-17,        58,        35,        49,        61,        32,        54,        29,        66,        37,        59,        52,        41,        25,        38,        31,        24,        59
2020-01-16,        43,        36,        35,        38,        28,        39,        30,        48,        35,        47,        38,        33,        25,        35,        27,        22,        45
2020-01-15,        38,        36,        36,        42,        35,        38,        31,        44,        31,        42,        36,        33,        27,        36,        30,        22,        40
2020-01-14,        31,        33,        31,        32,        24,        32,        25,        38,        25,        35,        33,        28,        23,        27,        26,        23,        38
